workerid,firstutterance,predicate,noun,gender,class,nounclass,slide_number,copula,response
0,no es,corto,queso,masculine,size,food,3,ser,0.78
0,no es,peque&ntilde;o,pl&aacute;tano,masculine,size,food,4,ser,0.71
0,no es,marr&oacute;n,ventilador,masculine,color,furniture,5,ser,0.09
0,no es,amarillo,pl&aacute;tano,masculine,color,food,6,ser,0.12
0,es,morado,sof&aacute; ,masculine,color,furniture,7,ser,0.01
0,es,viejo,zanahoria,feminine,age,food,8,ser,0.92
0,no es,grande,manzana,feminine,size,food,9,ser,0.96
0,es,fresco,zanahoria,feminine,age,food,10,ser,0.98
0,es,liso,ventilador,masculine,texture,furniture,11,ser,0.03
0,no est&aacute;,podrido,zanahoria,feminine,age,food,12,estar,0.05
0,es,rojo,pl&aacute;tano,masculine,color,food,13,ser,0.02
0,es,verde,ventilador,masculine,color,furniture,14,ser,0.54
0,es,min&uacute;sculo,tomate,masculine,size,food,15,ser,0.12
0,no es,espa&ntilde;ol,ventilador,masculine,nationality,furniture,16,ser,0.04
0,no es,duro,pl&aacute;tano,masculine,texture,food,17,ser,0.33
0,no es,bueno,queso,masculine,quality,food,18,ser,0.6
0,es,enorme,sof&aacute; ,masculine,size,furniture,19,ser,0.37
0,es,redondo,tomate,masculine,shape,food,20,ser,0.25
0,es,nuevo,manzana,feminine,age,food,21,ser,0.69
0,es,largo,pl&aacute;tano,masculine,size,food,22,ser,0.29
0,no es,americano,manzana,feminine,nationality,food,23,ser,0.74
0,es,malo,tomate,masculine,quality,food,24,ser,0.73
0,no es,azul,silla,feminine,color,furniture,25,ser,0.02
0,no es,cuadrado,queso,masculine,shape,food,26,ser,0.16
0,no es,mexicano,televisi&oacute;n ,feminine,nationality,furniture,27,ser,0.81
0,no es,suave,ventilador,masculine,texture,furniture,28,ser,0.24
1,no es,bueno,queso,masculine,quality,food,3,ser,0.9
1,es,rojo,sof&aacute; ,masculine,color,furniture,4,ser,0.12
1,no es,enorme,queso,masculine,size,food,5,ser,0.79
1,no est&aacute;,podrido,sof&aacute; ,masculine,age,furniture,6,estar,0.88
1,no es,mexicano,zanahoria,feminine,nationality,food,7,ser,0.85
1,es,duro,pl&aacute;tano,masculine,texture,food,8,ser,0.14
1,no es,fresco,ventilador,masculine,age,furniture,9,ser,0.14
1,no es,amarillo,sof&aacute; ,masculine,color,furniture,10,ser,0.08
1,es,redondo,zanahoria,feminine,shape,food,11,ser,0.91
1,no es,corto,silla,feminine,size,furniture,12,ser,0.21
1,no es,viejo,queso,masculine,age,food,13,ser,0.11
1,no es,grande,sof&aacute; ,masculine,size,furniture,14,ser,0.85
1,es,liso,pl&aacute;tano,masculine,texture,food,15,ser,0.86
1,no es,largo,queso,masculine,size,food,16,ser,0.89
1,no es,marr&oacute;n,silla,feminine,color,furniture,17,ser,0.84
1,no es,malo,zanahoria,feminine,quality,food,18,ser,0.92
1,es,nuevo,zanahoria,feminine,age,food,19,ser,0.84
1,no es,min&uacute;sculo,pl&aacute;tano,masculine,size,food,20,ser,0.87
1,es,azul,silla,feminine,color,furniture,21,ser,0.17
1,es,morado,ventilador,masculine,color,furniture,22,ser,0.18
1,es,peque&ntilde;o,zanahoria,feminine,size,food,23,ser,0.9
1,es,cuadrado,pl&aacute;tano,masculine,shape,food,24,ser,0.07
1,es,suave,televisi&oacute;n ,feminine,texture,furniture,25,ser,0.9
1,es,verde,silla,feminine,color,furniture,26,ser,0.23
1,no es,espa&ntilde;ol,ventilador,masculine,nationality,furniture,27,ser,0.86
1,no es,americano,manzana,feminine,nationality,food,28,ser,0.9
2,no es,viejo,televisi&oacute;n ,feminine,age,furniture,3,ser,1
2,no es,marr&oacute;n,sof&aacute; ,masculine,color,furniture,4,ser,0.02
2,es,mexicano,queso,masculine,nationality,food,5,ser,0.02
2,no es,nuevo,ventilador,masculine,age,furniture,6,ser,1
2,es,bueno,silla,feminine,quality,furniture,7,ser,0.98
2,es,suave,manzana,feminine,texture,food,8,ser,0.01
2,no es,verde,manzana,feminine,color,food,9,ser,0.01
2,es,fresco,silla,feminine,age,furniture,10,ser,0.98
2,no es,espa&ntilde;ol,tomate,masculine,nationality,food,11,ser,0.01
2,no est&aacute;,podrido,silla,feminine,age,furniture,12,estar,0.01
2,es,peque&ntilde;o,silla,feminine,size,furniture,13,ser,0
2,es,morado,zanahoria,feminine,color,food,14,ser,0.02
2,no es,americano,zanahoria,feminine,nationality,food,15,ser,0.99
2,no es,redondo,escritorio,masculine,shape,furniture,16,ser,0.01
2,no es,duro,manzana,feminine,texture,food,17,ser,0.98
2,es,cuadrado,queso,masculine,shape,food,18,ser,0.02
2,no es,corto,televisi&oacute;n ,feminine,size,furniture,19,ser,0.99
2,no es,grande,sof&aacute; ,masculine,size,furniture,20,ser,1
2,no es,enorme,queso,masculine,size,food,21,ser,0.99
2,es,min&uacute;sculo,televisi&oacute;n ,feminine,size,furniture,22,ser,1
2,es,malo,manzana,feminine,quality,food,23,ser,0.97
2,no es,amarillo,televisi&oacute;n ,feminine,color,furniture,24,ser,0.02
2,es,largo,silla,feminine,size,furniture,25,ser,0
2,no es,azul,pl&aacute;tano,masculine,color,food,26,ser,0.02
2,no es,rojo,silla,feminine,color,furniture,27,ser,0.02
2,no es,liso,pl&aacute;tano,masculine,texture,food,28,ser,1
3,no es,azul,sof&aacute; ,masculine,color,furniture,3,ser,0
3,no es,nuevo,manzana,feminine,age,food,4,ser,0
3,es,mexicano,queso,masculine,nationality,food,5,ser,0.01
3,es,marr&oacute;n,televisi&oacute;n ,feminine,color,furniture,6,ser,0
3,es,duro,silla,feminine,texture,furniture,7,ser,0.04
3,es,largo,tomate,masculine,size,food,8,ser,0
3,no es,suave,escritorio,masculine,texture,furniture,9,ser,0.05
3,es,cuadrado,manzana,feminine,shape,food,10,ser,0.04
3,est&aacute;,podrido,escritorio,masculine,age,furniture,11,estar,0.03
3,es,peque&ntilde;o,pl&aacute;tano,masculine,size,food,12,ser,0.05
3,no es,viejo,televisi&oacute;n ,feminine,age,furniture,13,ser,0.04
3,no es,corto,escritorio,masculine,size,furniture,14,ser,0.03
3,es,grande,queso,masculine,size,food,15,ser,0.06
3,es,morado,queso,masculine,color,food,16,ser,0
3,es,verde,televisi&oacute;n ,feminine,color,furniture,17,ser,0
3,es,espa&ntilde;ol,silla,feminine,nationality,furniture,18,ser,0.04
3,es,liso,ventilador,masculine,texture,furniture,19,ser,0.05
3,es,redondo,sof&aacute; ,masculine,shape,furniture,20,ser,0.02
3,es,rojo,tomate,masculine,color,food,21,ser,0.02
3,es,malo,televisi&oacute;n ,feminine,quality,furniture,22,ser,0
3,no es,amarillo,pl&aacute;tano,masculine,color,food,23,ser,0
3,es,min&uacute;sculo,tomate,masculine,size,food,24,ser,0.06
3,no es,bueno,zanahoria,feminine,quality,food,25,ser,0
3,es,enorme,ventilador,masculine,size,furniture,26,ser,0.01
3,no es,fresco,silla,feminine,age,furniture,27,ser,0
3,es,americano,zanahoria,feminine,nationality,food,28,ser,0
4,es,marr&oacute;n,tomate,masculine,color,food,3,ser,0.79
4,no es,peque&ntilde;o,queso,masculine,size,food,4,ser,0.91
4,no es,amarillo,manzana,feminine,color,food,5,ser,0.73
4,no est&aacute;,podrido,zanahoria,feminine,age,food,6,estar,0.7
4,no es,min&uacute;sculo,silla,feminine,size,furniture,7,ser,0.98
4,es,mexicano,zanahoria,feminine,nationality,food,8,ser,1
4,no es,malo,silla,feminine,quality,furniture,9,ser,1
4,es,suave,manzana,feminine,texture,food,10,ser,1
4,es,enorme,queso,masculine,size,food,11,ser,1
4,no es,liso,silla,feminine,texture,furniture,12,ser,1
4,no es,verde,manzana,feminine,color,food,13,ser,1
4,no es,viejo,ventilador,masculine,age,furniture,14,ser,1
4,no es,cuadrado,televisi&oacute;n ,feminine,shape,furniture,15,ser,1
4,es,azul,televisi&oacute;n ,feminine,color,furniture,16,ser,1
4,no es,duro,zanahoria,feminine,texture,food,17,ser,1
4,no es,morado,manzana,feminine,color,food,18,ser,1
4,no es,grande,zanahoria,feminine,size,food,19,ser,1
4,es,redondo,escritorio,masculine,shape,furniture,20,ser,0.96
4,no es,corto,manzana,feminine,size,food,21,ser,1
4,es,nuevo,televisi&oacute;n ,feminine,age,furniture,22,ser,1
4,es,americano,televisi&oacute;n ,feminine,nationality,furniture,23,ser,1
4,es,largo,manzana,feminine,size,food,24,ser,1
4,no es,rojo,silla,feminine,color,furniture,25,ser,0.93
4,es,espa&ntilde;ol,manzana,feminine,nationality,food,26,ser,1
4,no es,bueno,queso,masculine,quality,food,27,ser,1
4,no es,fresco,televisi&oacute;n ,feminine,age,furniture,28,ser,1
5,no es,cuadrado,televisi&oacute;n ,feminine,shape,furniture,3,ser,0
5,no es,morado,queso,masculine,color,food,4,ser,0.1
5,no es,min&uacute;sculo,ventilador,masculine,size,furniture,5,ser,0.87
5,no es,malo,queso,masculine,quality,food,6,ser,0.88
5,no es,largo,ventilador,masculine,size,furniture,7,ser,0.67
5,es,liso,ventilador,masculine,texture,furniture,8,ser,0.83
5,no es,viejo,televisi&oacute;n ,feminine,age,furniture,9,ser,1
5,no es,mexicano,silla,feminine,nationality,furniture,10,ser,0
5,no es,espa&ntilde;ol,ventilador,masculine,nationality,furniture,11,ser,0.1
5,es,bueno,zanahoria,feminine,quality,food,12,ser,0.06
5,no es,grande,manzana,feminine,size,food,13,ser,0.91
5,no es,nuevo,silla,feminine,age,furniture,14,ser,0.89
5,es,enorme,zanahoria,feminine,size,food,15,ser,0.08
5,est&aacute;,podrido,queso,masculine,age,food,16,estar,0.91
5,no es,fresco,televisi&oacute;n ,feminine,age,furniture,17,ser,0.11
5,no es,peque&ntilde;o,queso,masculine,size,food,18,ser,0.85
5,es,suave,escritorio,masculine,texture,furniture,19,ser,0.69
5,es,marr&oacute;n,tomate,masculine,color,food,20,ser,0.07
5,no es,rojo,manzana,feminine,color,food,21,ser,0.08
5,es,americano,manzana,feminine,nationality,food,22,ser,0.66
5,es,redondo,sof&aacute; ,masculine,shape,furniture,23,ser,0.24
5,es,duro,sof&aacute; ,masculine,texture,furniture,24,ser,0.89
5,es,corto,escritorio,masculine,size,furniture,25,ser,0.68
5,no es,verde,pl&aacute;tano,masculine,color,food,26,ser,0.09
5,no es,azul,televisi&oacute;n ,feminine,color,furniture,27,ser,0.71
5,no es,amarillo,sof&aacute; ,masculine,color,furniture,28,ser,0.64
6,no es,nuevo,manzana,feminine,age,food,3,ser,0.59
6,no es,morado,ventilador,masculine,color,furniture,4,ser,0.81
6,no es,redondo,manzana,feminine,shape,food,5,ser,0.64
6,es,min&uacute;sculo,manzana,feminine,size,food,6,ser,0.27
6,no es,fresco,ventilador,masculine,age,furniture,7,ser,0.76
6,no es,malo,tomate,masculine,quality,food,8,ser,0.43
6,es,cuadrado,pl&aacute;tano,masculine,shape,food,9,ser,0.8
6,no es,verde,escritorio,masculine,color,furniture,10,ser,0.25
6,no es,largo,pl&aacute;tano,masculine,size,food,11,ser,0.72
6,es,bueno,sof&aacute; ,masculine,quality,furniture,12,ser,0.74
6,es,amarillo,escritorio,masculine,color,furniture,13,ser,0.33
6,es,duro,manzana,feminine,texture,food,14,ser,0.88
6,es,viejo,sof&aacute; ,masculine,age,furniture,15,ser,0.8
6,no es,rojo,ventilador,masculine,color,furniture,16,ser,0.83
6,no es,grande,silla,feminine,size,furniture,17,ser,0.24
6,no es,azul,manzana,feminine,color,food,18,ser,0.32
6,est&aacute;,podrido,zanahoria,feminine,age,food,19,estar,0.6
6,es,suave,sof&aacute; ,masculine,texture,furniture,20,ser,0.69
6,no es,liso,zanahoria,feminine,texture,food,21,ser,0.69
6,no es,mexicano,manzana,feminine,nationality,food,22,ser,0.88
6,no es,corto,queso,masculine,size,food,23,ser,0.64
6,es,marr&oacute;n,escritorio,masculine,color,furniture,24,ser,0.76
6,es,peque&ntilde;o,queso,masculine,size,food,25,ser,0.74
6,es,espa&ntilde;ol,manzana,feminine,nationality,food,26,ser,0.59
6,no es,enorme,queso,masculine,size,food,27,ser,0.64
6,es,americano,silla,feminine,nationality,furniture,28,ser,0.7
7,es,redondo,pl&aacute;tano,masculine,shape,food,3,ser,0.54
7,no es,marr&oacute;n,pl&aacute;tano,masculine,color,food,4,ser,0
7,no es,grande,silla,feminine,size,furniture,5,ser,0.99
7,es,duro,escritorio,masculine,texture,furniture,6,ser,1
7,es,min&uacute;sculo,silla,feminine,size,furniture,7,ser,1
7,no es,mexicano,zanahoria,feminine,nationality,food,8,ser,1
7,es,viejo,zanahoria,feminine,age,food,9,ser,0.96
7,no es,peque&ntilde;o,escritorio,masculine,size,furniture,10,ser,1
7,es,corto,pl&aacute;tano,masculine,size,food,11,ser,0.99
7,no es,azul,sof&aacute; ,masculine,color,furniture,12,ser,0.96
7,no es,amarillo,escritorio,masculine,color,furniture,13,ser,1
7,es,americano,manzana,feminine,nationality,food,14,ser,1
7,no es,liso,tomate,masculine,texture,food,15,ser,0
7,no es,bueno,sof&aacute; ,masculine,quality,furniture,16,ser,1
7,es,largo,manzana,feminine,size,food,17,ser,0.51
7,no es,enorme,tomate,masculine,size,food,18,ser,1
7,est&aacute;,podrido,tomate,masculine,age,food,19,estar,1
7,no es,verde,televisi&oacute;n ,feminine,color,furniture,20,ser,0.6
7,es,cuadrado,zanahoria,feminine,shape,food,21,ser,0
7,es,nuevo,zanahoria,feminine,age,food,22,ser,1
7,es,rojo,manzana,feminine,color,food,23,ser,1
7,es,fresco,manzana,feminine,age,food,24,ser,1
7,es,morado,pl&aacute;tano,masculine,color,food,25,ser,0
7,no es,malo,televisi&oacute;n ,feminine,quality,furniture,26,ser,1
7,no es,suave,silla,feminine,texture,furniture,27,ser,1
7,es,espa&ntilde;ol,tomate,masculine,nationality,food,28,ser,1
8,es,marr&oacute;n,ventilador,masculine,color,furniture,3,ser,0.53
8,es,min&uacute;sculo,ventilador,masculine,size,furniture,4,ser,0.59
8,no es,nuevo,zanahoria,feminine,age,food,5,ser,0.39
8,es,viejo,pl&aacute;tano,masculine,age,food,6,ser,0.46
8,es,malo,queso,masculine,quality,food,7,ser,0.65
8,no es,bueno,manzana,feminine,quality,food,8,ser,0.37
8,est&aacute;,podrido,zanahoria,feminine,age,food,9,estar,0.62
8,es,duro,ventilador,masculine,texture,furniture,10,ser,0.44
8,es,largo,sof&aacute; ,masculine,size,furniture,11,ser,0.62
8,es,redondo,ventilador,masculine,shape,furniture,12,ser,0.43
8,no es,corto,escritorio,masculine,size,furniture,13,ser,0.59
