workerid,firstutterance,predicate,noun,gender,class,nounclass,slide_number,copula,response
0,es,bueno,manzana,feminine,quality,food,3,ser,0.82
0,es,duro,ventilador,masculine,texture,furniture,4,ser,0.66
0,no es,amarillo,ventilador,masculine,color,furniture,5,ser,0.46
0,es,enorme,silla,feminine,size,furniture,6,ser,0.72
0,no es,grande,manzana,feminine,size,food,7,ser,0.74
0,es,fresco,pl&aacute;tano,masculine,age,food,8,ser,0.27
0,no es,nuevo,escritorio,masculine,age,furniture,9,ser,0.62
0,no est&aacute;,podrido,silla,feminine,age,furniture,10,estar,0.7
0,no es,suave,tomate,masculine,texture,food,11,ser,0.54
0,no es,cuadrado,escritorio,masculine,shape,furniture,12,ser,0.72
0,es,azul,pl&aacute;tano,masculine,color,food,13,ser,0
0,es,liso,manzana,feminine,texture,food,14,ser,0.52
0,es,verde,televisi&oacute;n ,feminine,color,furniture,15,ser,0.1
0,es,morado,ventilador,masculine,color,furniture,16,ser,0.52
0,no es,corto,televisi&oacute;n ,feminine,size,furniture,17,ser,0.6
0,no es,mexicano,zanahoria,feminine,nationality,food,18,ser,0.89
0,no es,rojo,pl&aacute;tano,masculine,color,food,19,ser,0.1
0,es,peque&ntilde;o,queso,masculine,size,food,20,ser,0.3
0,no es,viejo,zanahoria,feminine,age,food,21,ser,0.83
0,es,malo,silla,feminine,quality,furniture,22,ser,0.84
0,es,largo,televisi&oacute;n ,feminine,size,furniture,23,ser,0.61
0,es,americano,pl&aacute;tano,masculine,nationality,food,24,ser,0.72
0,no es,min&uacute;sculo,escritorio,masculine,size,furniture,25,ser,0.8
0,no es,redondo,queso,masculine,shape,food,26,ser,0.52
0,es,espa&ntilde;ol,televisi&oacute;n ,feminine,nationality,furniture,27,ser,0.65
0,es,marr&oacute;n,silla,feminine,color,furniture,28,ser,0.78
1,no es,americano,manzana,feminine,nationality,food,3,ser,0.66
1,es,viejo,tomate,masculine,age,food,4,ser,0.36
1,no es,cuadrado,ventilador,masculine,shape,furniture,5,ser,0.98
1,es,morado,ventilador,masculine,color,furniture,6,ser,0.88
1,no es,liso,escritorio,masculine,texture,furniture,7,ser,0.9
1,es,rojo,pl&aacute;tano,masculine,color,food,8,ser,0.78
1,es,marr&oacute;n,silla,feminine,color,furniture,9,ser,0.96
1,es,mexicano,televisi&oacute;n ,feminine,nationality,furniture,10,ser,0.1
1,no es,duro,tomate,masculine,texture,food,11,ser,0.79
1,no es,peque&ntilde;o,silla,feminine,size,furniture,12,ser,0.84
1,no es,espa&ntilde;ol,sof&aacute; ,masculine,nationality,furniture,13,ser,0.88
1,es,bueno,tomate,masculine,quality,food,14,ser,0.67
1,es,verde,pl&aacute;tano,masculine,color,food,15,ser,0.1
1,es,enorme,escritorio,masculine,size,furniture,16,ser,0.79
1,es,min&uacute;sculo,sof&aacute; ,masculine,size,furniture,17,ser,0.16
1,es,azul,tomate,masculine,color,food,18,ser,0.73
1,no es,redondo,pl&aacute;tano,masculine,shape,food,19,ser,0.71
1,es,largo,televisi&oacute;n ,feminine,size,furniture,20,ser,0.83
1,no es,amarillo,queso,masculine,color,food,21,ser,0.54
1,no es,grande,ventilador,masculine,size,furniture,22,ser,0.79
1,no es,malo,ventilador,masculine,quality,furniture,23,ser,0.32
1,no est&aacute;,podrido,silla,feminine,age,furniture,24,estar,0.86
1,no es,suave,zanahoria,feminine,texture,food,25,ser,0.78
1,no es,fresco,televisi&oacute;n ,feminine,age,furniture,26,ser,0.99
1,es,corto,sof&aacute; ,masculine,size,furniture,27,ser,0.14
1,es,nuevo,manzana,feminine,age,food,28,ser,0.91
2,no es,viejo,pl&aacute;tano,masculine,age,food,3,ser,0
2,es,azul,queso,masculine,color,food,4,ser,0.04
2,no es,enorme,escritorio,masculine,size,furniture,5,ser,0
2,no es,min&uacute;sculo,televisi&oacute;n ,feminine,size,furniture,6,ser,0.03
2,no es,americano,zanahoria,feminine,nationality,food,7,ser,0.94
2,no es,bueno,pl&aacute;tano,masculine,quality,food,8,ser,0.02
2,es,grande,manzana,feminine,size,food,9,ser,0.01
2,es,redondo,ventilador,masculine,shape,furniture,10,ser,0.97
2,no es,suave,televisi&oacute;n ,feminine,texture,furniture,11,ser,0.04
2,es,espa&ntilde;ol,queso,masculine,nationality,food,12,ser,0.98
2,es,nuevo,televisi&oacute;n ,feminine,age,furniture,13,ser,0.03
2,no es,verde,manzana,feminine,color,food,14,ser,0.01
2,no es,morado,ventilador,masculine,color,furniture,15,ser,0.02
2,no es,corto,manzana,feminine,size,food,16,ser,0
2,es,cuadrado,silla,feminine,shape,furniture,17,ser,0.03
2,es,duro,zanahoria,feminine,texture,food,18,ser,0.04
2,es,rojo,silla,feminine,color,furniture,19,ser,0.97
2,es,fresco,silla,feminine,age,furniture,20,ser,0.04
2,es,amarillo,queso,masculine,color,food,21,ser,0.06
2,es,liso,pl&aacute;tano,masculine,texture,food,22,ser,0.92
2,es,peque&ntilde;o,pl&aacute;tano,masculine,size,food,23,ser,0.04
2,no es,malo,manzana,feminine,quality,food,24,ser,0.93
2,no es,marr&oacute;n,zanahoria,feminine,color,food,25,ser,0.07
2,es,largo,manzana,feminine,size,food,26,ser,0.02
2,no es,mexicano,sof&aacute; ,masculine,nationality,furniture,27,ser,0
2,est&aacute;,podrido,sof&aacute; ,masculine,age,furniture,28,estar,0.01
3,es,americano,silla,feminine,nationality,furniture,3,ser,0.06
3,es,nuevo,manzana,feminine,age,food,4,ser,0.46
3,es,duro,tomate,masculine,texture,food,5,ser,0.9
3,es,amarillo,silla,feminine,color,furniture,6,ser,0.56
3,no es,espa&ntilde;ol,silla,feminine,nationality,furniture,7,ser,0.01
3,no es,morado,manzana,feminine,color,food,8,ser,0.04
3,no es,azul,sof&aacute; ,masculine,color,furniture,9,ser,0.7
3,es,largo,televisi&oacute;n ,feminine,size,furniture,10,ser,0.75
3,es,verde,televisi&oacute;n ,feminine,color,furniture,11,ser,0.51
3,es,peque&ntilde;o,manzana,feminine,size,food,12,ser,0.77
