workerid,firstutterance,predicate,noun,gender,class,nounclass,slide_number,copula,response
0,no es,peque&ntilde;o,zanahoria,feminine,size,food,3,ser,0.64
0,no es,grande,manzana,feminine,size,food,4,ser,0.72
0,no es,liso,pl&aacute;tano,masculine,texture,food,5,ser,0.81
0,es,morado,ventilador,masculine,color,furniture,6,ser,0.74
0,es,marr&oacute;n,sof&aacute; ,masculine,color,furniture,7,ser,0.5
0,no es,corto,sof&aacute; ,masculine,size,furniture,8,ser,0.7
0,no es,duro,escritorio,masculine,texture,furniture,9,ser,0.77
0,es,cuadrado,pl&aacute;tano,masculine,shape,food,10,ser,0.62
0,no es,suave,escritorio,masculine,texture,furniture,11,ser,0.74
0,no es,espa&ntilde;ol,tomate,masculine,nationality,food,12,ser,0.74
0,es,largo,sof&aacute; ,masculine,size,furniture,13,ser,0.67
0,es,mexicano,silla,feminine,nationality,furniture,14,ser,0.75
0,no es,americano,ventilador,masculine,nationality,furniture,15,ser,0.78
0,no es,verde,tomate,masculine,color,food,16,ser,0.76
0,es,fresco,zanahoria,feminine,age,food,17,ser,0.55
0,es,viejo,escritorio,masculine,age,furniture,18,ser,0.7
0,no es,bueno,televisi&oacute;n ,feminine,quality,furniture,19,ser,0.49
0,no es,azul,ventilador,masculine,color,furniture,20,ser,0.79
0,no es,min&uacute;sculo,sof&aacute; ,masculine,size,furniture,21,ser,0.82
0,es,amarillo,tomate,masculine,color,food,22,ser,0.76
0,no es,malo,sof&aacute; ,masculine,quality,furniture,23,ser,0.74
0,es,rojo,silla,feminine,color,furniture,24,ser,0.74
0,no es,nuevo,ventilador,masculine,age,furniture,25,ser,0.78
0,es,enorme,sof&aacute; ,masculine,size,furniture,26,ser,0.81
0,no est&aacute;,podrido,tomate,masculine,age,food,27,estar,0.72
0,es,redondo,queso,masculine,shape,food,28,ser,0.68
1,es,redondo,zanahoria,feminine,shape,food,3,ser,0
1,no es,largo,queso,masculine,size,food,4,ser,0.19
1,no es,morado,zanahoria,feminine,color,food,5,ser,0
1,no es,enorme,ventilador,masculine,size,furniture,6,ser,0.02
1,es,liso,zanahoria,feminine,texture,food,7,ser,0.77
1,no es,nuevo,silla,feminine,age,furniture,8,ser,0.74
1,no es,malo,manzana,feminine,quality,food,9,ser,0.01
1,es,min&uacute;sculo,zanahoria,feminine,size,food,10,ser,0.74
1,no es,viejo,queso,masculine,age,food,11,ser,0.03
1,es,bueno,pl&aacute;tano,masculine,quality,food,12,ser,1
1,no es,fresco,tomate,masculine,age,food,13,ser,0.13
1,est&aacute;,podrido,silla,feminine,age,furniture,14,estar,0.04
1,es,cuadrado,escritorio,masculine,shape,furniture,15,ser,0.04
1,es,americano,zanahoria,feminine,nationality,food,16,ser,0.04
1,no es,rojo,sof&aacute; ,masculine,color,furniture,17,ser,0.04
1,no es,marr&oacute;n,queso,masculine,color,food,18,ser,0.01
1,es,peque&ntilde;o,televisi&oacute;n ,feminine,size,furniture,19,ser,0.97
1,no es,espa&ntilde;ol,zanahoria,feminine,nationality,food,20,ser,0.02
1,es,suave,ventilador,masculine,texture,furniture,21,ser,0.16
1,es,verde,queso,masculine,color,food,22,ser,0.01
1,es,mexicano,televisi&oacute;n ,feminine,nationality,furniture,23,ser,0.02
1,es,duro,tomate,masculine,texture,food,24,ser,0.97
1,no es,grande,ventilador,masculine,size,furniture,25,ser,0.71
1,no es,azul,pl&aacute;tano,masculine,color,food,26,ser,0.04
1,no es,corto,silla,feminine,size,furniture,27,ser,0.57
1,no es,amarillo,tomate,masculine,color,food,28,ser,0
2,no es,min&uacute;sculo,escritorio,masculine,size,furniture,3,ser,0.8
2,es,verde,escritorio,masculine,color,furniture,4,ser,0.76
2,es,americano,silla,feminine,nationality,furniture,5,ser,0.54
2,es,nuevo,manzana,feminine,age,food,6,ser,0.66
2,no es,rojo,televisi&oacute;n ,feminine,color,furniture,7,ser,0.55
2,no es,fresco,pl&aacute;tano,masculine,age,food,8,ser,0.64
2,no es,mexicano,escritorio,masculine,nationality,furniture,9,ser,0.68
2,es,amarillo,escritorio,masculine,color,furniture,10,ser,0.67
2,es,morado,televisi&oacute;n ,feminine,color,furniture,11,ser,0.54
2,no es,corto,queso,masculine,size,food,12,ser,0.73
2,no est&aacute;,podrido,queso,masculine,age,food,13,estar,0.88
2,no es,azul,tomate,masculine,color,food,14,ser,0.77
2,no es,malo,televisi&oacute;n ,feminine,quality,furniture,15,ser,0.83
2,no es,peque&ntilde;o,queso,masculine,size,food,16,ser,0.79
2,es,duro,sof&aacute; ,masculine,texture,furniture,17,ser,0.76
2,es,liso,silla,feminine,texture,furniture,18,ser,0.78
2,es,largo,queso,masculine,size,food,19,ser,0.54
2,es,bueno,zanahoria,feminine,quality,food,20,ser,0.52
2,no es,cuadrado,escritorio,masculine,shape,furniture,21,ser,0.55
2,no es,marr&oacute;n,zanahoria,feminine,color,food,22,ser,0.73
2,no es,espa&ntilde;ol,pl&aacute;tano,masculine,nationality,food,23,ser,0.74
2,no es,suave,silla,feminine,texture,furniture,24,ser,0.64
2,no es,viejo,zanahoria,feminine,age,food,25,ser,0.77
2,es,redondo,televisi&oacute;n ,feminine,shape,furniture,26,ser,0.7
2,no es,grande,sof&aacute; ,masculine,size,furniture,27,ser,0.7
2,no es,enorme,zanahoria,feminine,size,food,28,ser,0.67
3,no es,enorme,ventilador,masculine,size,furniture,3,ser,0.94
3,no es,fresco,ventilador,masculine,age,furniture,4,ser,0.02
3,es,redondo,queso,masculine,shape,food,5,ser,1
3,no es,mexicano,zanahoria,feminine,nationality,food,6,ser,0
3,no es,nuevo,pl&aacute;tano,masculine,age,food,7,ser,0.07
3,no es,espa&ntilde;ol,manzana,feminine,nationality,food,8,ser,0
3,es,largo,escritorio,masculine,size,furniture,9,ser,0.99
3,es,bueno,sof&aacute; ,masculine,quality,furniture,10,ser,1
3,no es,peque&ntilde;o,pl&aacute;tano,masculine,size,food,11,ser,1
3,es,liso,sof&aacute; ,masculine,texture,furniture,12,ser,1
3,no es,amarillo,queso,masculine,color,food,13,ser,0
3,no es,cuadrado,pl&aacute;tano,masculine,shape,food,14,ser,0
3,es,corto,queso,masculine,size,food,15,ser,0.99
3,no es,grande,zanahoria,feminine,size,food,16,ser,1
3,es,duro,manzana,feminine,texture,food,17,ser,0
3,es,rojo,ventilador,masculine,color,furniture,18,ser,0
3,es,morado,manzana,feminine,color,food,19,ser,0.03
3,no es,americano,pl&aacute;tano,masculine,nationality,food,20,ser,0.08
3,es,viejo,pl&aacute;tano,masculine,age,food,21,ser,1
3,no est&aacute;,podrido,ventilador,masculine,age,furniture,22,estar,0
3,no es,verde,zanahoria,feminine,color,food,23,ser,0
3,no es,marr&oacute;n,pl&aacute;tano,masculine,color,food,24,ser,0
3,no es,suave,pl&aacute;tano,masculine,texture,food,25,ser,0
3,no es,malo,manzana,feminine,quality,food,26,ser,1
3,es,azul,queso,masculine,color,food,27,ser,0
3,no es,min&uacute;sculo,tomate,masculine,size,food,28,ser,0
4,no es,liso,ventilador,masculine,texture,furniture,3,ser,0.78
4,no es,espa&ntilde;ol,televisi&oacute;n ,feminine,nationality,furniture,4,ser,0.71
4,es,min&uacute;sculo,manzana,feminine,size,food,5,ser,0.88
4,es,amarillo,queso,masculine,color,food,6,ser,1
4,es,duro,manzana,feminine,texture,food,7,ser,1
4,es,enorme,manzana,feminine,size,food,8,ser,1
4,no es,corto,sof&aacute; ,masculine,size,furniture,9,ser,1
4,no es,verde,zanahoria,feminine,color,food,10,ser,1
4,es,malo,silla,feminine,quality,furniture,11,ser,1
4,no es,cuadrado,ventilador,masculine,shape,furniture,12,ser,0.12
4,no es,largo,sof&aacute; ,masculine,size,furniture,13,ser,0.87
4,no es,nuevo,manzana,feminine,age,food,14,ser,0.22
4,es,grande,escritorio,masculine,size,furniture,15,ser,0.74
4,no es,peque&ntilde;o,televisi&oacute;n ,feminine,size,furniture,16,ser,0.72
4,es,americano,escritorio,masculine,nationality,furniture,17,ser,0
4,no es,rojo,escritorio,masculine,color,furniture,18,ser,0.07
4,no es,fresco,silla,feminine,age,furniture,19,ser,0.71
4,no es,bueno,silla,feminine,quality,furniture,20,ser,0.74
4,no es,redondo,sof&aacute; ,masculine,shape,furniture,21,ser,0
4,es,morado,queso,masculine,color,food,22,ser,0
4,no es,mexicano,silla,feminine,nationality,furniture,23,ser,0
4,no est&aacute;,podrido,manzana,feminine,age,food,24,estar,0
4,no es,suave,televisi&oacute;n ,feminine,texture,furniture,25,ser,0.22
