lived,school,age,college,education,classes,years,describe,assess,language,family,gender,level,comments,enjoyment,workerid
neverlived,small,26,nocollege,0,no,shortlive,SpanSpan,Yes,TAMIL,span,Female,int,NICE,1,0
under8,small,1989,onesem,3,yes,shortlive,otherL2,Confused,,eng,Male,int,,0,1
,,,,-1,,,,,,,,,,-1,2
both8,most,35,midsem,4,no,shortlive,otherL2,Yes,Portugues,other,Female,advanced,,2,3
both8,most,29,mostsem,4,yes,mostlive,SpanSpan,Yes,español,span,Female,native,Ninguno,2,4
under8,none,22,nocollege,2,noclasses,mostlive,SpanSpan,Yes,Castellano,span,Male,native,Gracias,1,5
neverlived,small,38,nocollege,3,no,neverlived,L2,Confused,PORTUGUÊS ,other,Male,basic,,1,6
under8,mid,HS,nocollege,1,no,neverlived,SpanSpan,Confused,Spanish,span,Male,advanced,No,0,7
neverlived,none,22,nocollege,1,no,neverlived,otherL2,Yes,português,other,Female,basic,"Mi sentis min nekredeble provi la scion
",2,8
under8,small,B.A,onesem,2,no,midlive,L2,Confused,MALAYALAM,spaneng,Female,advanced,GOOD,1,9
neverlived,small,26,midsem,2,yes,midlive,SpanSpan,No,english,spaneng,Female,int,nice,1,10
under8,most,31,midsem,4,yes,midlive,L2,Yes,Ingles,spaneng,Female,int,,2,11
both8,most,27,onesem,3,noclasses,shortlive,otherL2,Yes,English,other,Female,int,nice survey,2,12
over8,small,24,onesem,3,yes,midlive,SpanEng,Yes,espanol,span,Male,int,Todo funciono bien! Gracias!,2,13
neverlived,mid,23,onesem,3,yes,neverlived,,Yes,portugués,other,Female,basic,"Me gustó mucho el experimento, pero algunas opciones acaba dejando al participante un poco confuso. Espero contribuir otras veces.",2,14
under8,none,40,nocollege,2,yes,midlive,SpanSpan,Yes,Espanol,,Female,advanced,,2,15
both8,most,35,nocollege,3,yes,mostlive,SpanSpan,Yes,español,span,Male,native,,2,16
neverlived,small,24,onesem,1,yes,neverlived,SpanSpan,Yes,espanol,span,Female,advanced,,1,17
neverlived,mid,24,onesem,3,yes,shortlive,SpanSpan,Yes,NO,eng,Female,advanced,,0,18
both8,most,38,nocollege,1,yes,mostlive,SpanSpan,Yes,espanol,span,Female,native,,1,19
both8,most,39,nocollege,4,yes,mostlive,SpanSpan,Yes,"español, gallego",span,Female,native,"Las combinaciones de palabras a evaluar no sonaban naturales, incluso en algunas había falta de concordancia de género entre el sustantivo y alguno de los adjetivos, por lo que resultaba difícil de evaluar.",0,20
both8,most,25,mostsem,4,yes,mostlive,SpanSpan,Yes,,span,Female,native,,1,21
over8,most,30,midsem,3,yes,mostlive,L2,Yes,ingles,eng,Female,advanced,,2,22
,small,29,onesem,3,yes,neverlived,,Yes,SPANISH,eng,Male,basic,NICE,0,23
neverlived,most,32,nocollege,3,yes,neverlived,SpanSpan,Yes,ESPAÑOL,spaneng,Female,advanced,"
Importante para mejorar mis conocimientos.",0,24
under8,small,25,mostsem,3,yes,shortlive,L2,Confused,malayalam,span,Female,near native,nice,2,25
under8,small,25,onesem,2,yes,shortlive,SpanSpan,Yes,SPANISH,span,Female,basic,GOOD,0,26
over8,mid,35,onesem,2,no,shortlive,SpanSpan,Confused,India,spaneng,Female,int,good job,1,27
neverlived,none,33,nocollege,2,noclasses,neverlived,SpanEng,Yes,español,spaneng,Male,int,,2,28
under8,mid,25,mostsem,3,yes,midlive,L2,Confused,español,span,Female,native,buena tarea,2,29
neverlived,none,23,nocollege,2,yes,neverlived,SpanEng,Yes,India,eng,Male,basic,aqu,1,30
under8,small,27,midsem,2,yes,shortlive,SpanSpan,Yes,española,span,Female,near native,buena encuesta,0,31
over8,most,31,nocollege,4,noclasses,shortlive,otherL2,Yes,Portugués,other,Male,int,,1,32
neverlived,small,19,nocollege,0,no,neverlived,L2,Yes,ingles,eng,Female,int,,1,33
over8,most,25,nocollege,3,yes,mostlive,SpanEng,Yes,"Ingles, Español",eng,Female,near native,,1,34
neverlived,,35,onesem,1,,shortlive,,Yes,Português ,span,Male,int,,0,35
under8,small,29,onesem,3,yes,neverlived,SpanSpan,,,span,Female,basic,good task,0,36
under8,small,21,nocollege,2,no,midlive,SpanEng,Yes,"Ingles, Español",spaneng,Female,none,,2,37
over8,mid,24,nocollege,3,yes,midlive,otherL2,Yes,Portugués,other,Female,advanced,"Me gustó el experimento, pues generalmente hablamos naturalmente y no paramos para pensar en lo que funciona y lo que no funciona.",2,38
neverlived,small,30,nocollege,4,yes,neverlived,SpanEng,Yes,Inglies,eng,Male,basic,,1,39
under8,most,25,nocollege,4,yes,shortlive,L2,Yes,ingles,other,Female,advanced,,2,40
neverlived,none,20,nocollege,2,no,neverlived,otherL2,Yes,Português,other,Female,basic,,2,41
neverlived,none,31,nocollege,3,no,neverlived,otherL2,Yes,portugues,other,Male,int,,2,42
both8,most,25,nocollege,3,no,mostlive,SpanEng,Yes,Español,span,Male,native,El experimento es interesante y me gustaría saber más de ello. Me puso a pensar en el orden de los adjetivos.,1,43
neverlived,most,38,mostsem,4,yes,neverlived,SpanEng,Yes,English,eng,Female,advanced,,1,44
under8,small,,onesem,3,yes,shortlive,SpanSpan,Yes,,span,Male,int,no comment,0,45
under8,mid,27,onesem,2,yes,shortlive,SpanSpan,Yes,India,span,Male,advanced,,1,46
over8,most,23,midsem,2,yes,neverlived,SpanSpan,Yes,PORTUGUES,spaneng,Male,int,,2,47
neverlived,most,35,midsem,2,yes,neverlived,SpanEng,Yes,"Espanol, Ingles",spaneng,Female,native,,2,48
neverlived,none,24,nocollege,3,no,neverlived,otherL2,Yes,Albanés,other,Male,basic,Encuesta interesante,2,49
neverlived,none,,nocollege,-1,yes,neverlived,SpanEng,No,ingles,eng,Male,basic,,1,50
neverlived,small,28,nocollege,3,yes,neverlived,otherL2,Yes,Português,other,Male,advanced,muy bien,2,51
neverlived,small,30,nocollege,3,yes,neverlived,otherL2,Yes,Português ,other,Male,int,gran éxito interfaz de fácil comprensión y manejo,2,52
both8,most,19,midsem,3,yes,shortlive,otherL2,Yes,Português,other,Male,basic,Muito bom,1,53
over8,mid,28,midsem,2,yes,mostlive,L2,Yes,mallayalam,other,Female,native,good,1,54
neverlived,small,28,midsem,2,no,neverlived,L2,Yes,,eng,Female,int,,1,55
neverlived,mid,28,midsem,3,yes,neverlived,L2,Yes,,eng,Female,int,,1,56
neverlived,mid,32,nocollege,3,yes,neverlived,L2,Yes,English,eng,Male,basic,,1,57
over8,mid,31,midsem,3,yes,neverlived,SpanSpan,Yes,United States,span,Female,native,,0,58
neverlived,small,20,nocollege,2,no,neverlived,otherL2,Yes,,other,Male,int,Es un experimento muy interesante,2,59
both8,most,19,,-1,,mostlive,SpanSpan,Yes,Español,span,Male,native,,2,60
