workerid,firstutterance,predicate,noun,gender,class,nounclass,slide_number,copula,response
0,no es,bueno,manzana,feminine,quality,food,3,ser,1
0,no es,amarillo,silla,feminine,color,furniture,4,ser,0.56
0,no es,cuadrado,zanahoria,feminine,shape,food,5,ser,0.15
0,no es,min&uacute;sculo,zanahoria,feminine,size,food,6,ser,0.48
0,es,fresco,queso,masculine,age,food,7,ser,0.21
0,no es,americano,tomate,masculine,nationality,food,8,ser,0
0,no es,enorme,pl&aacute;tano,masculine,size,food,9,ser,0.44
0,no es,suave,manzana,feminine,texture,food,10,ser,0.37
0,est&aacute;,podrido,pl&aacute;tano,masculine,age,food,11,estar,0.19
0,no es,espa&ntilde;ol,silla,feminine,nationality,furniture,12,ser,0.05
0,es,verde,silla,feminine,color,furniture,13,ser,0.48
0,no es,rojo,queso,masculine,color,food,14,ser,0.49
0,es,duro,silla,feminine,texture,furniture,15,ser,0.26
0,no es,viejo,escritorio,masculine,age,furniture,16,ser,0.21
0,es,grande,sof&aacute; ,masculine,size,furniture,17,ser,0.25
0,no es,nuevo,queso,masculine,age,food,18,ser,0.18
0,es,azul,pl&aacute;tano,masculine,color,food,19,ser,0.46
0,no es,largo,televisi&oacute;n ,feminine,size,furniture,20,ser,0.29
0,no es,malo,manzana,feminine,quality,food,21,ser,0.18
0,no es,mexicano,manzana,feminine,nationality,food,22,ser,0.01
0,es,redondo,tomate,masculine,shape,food,23,ser,0.04
0,es,corto,queso,masculine,size,food,24,ser,0.1
0,no es,morado,televisi&oacute;n ,feminine,color,furniture,25,ser,0.49
0,es,liso,escritorio,masculine,texture,furniture,26,ser,0.31
0,no es,peque&ntilde;o,sof&aacute; ,masculine,size,furniture,27,ser,0.17
0,es,marr&oacute;n,manzana,feminine,color,food,28,ser,0.5
1,est&aacute;,podrido,queso,masculine,age,food,3,estar,0.16
1,no es,malo,queso,masculine,quality,food,4,ser,0.8
1,es,peque&ntilde;o,queso,masculine,size,food,5,ser,0.21
1,no es,corto,tomate,masculine,size,food,6,ser,0.16
1,es,duro,ventilador,masculine,texture,furniture,7,ser,0.93
1,no es,min&uacute;sculo,pl&aacute;tano,masculine,size,food,8,ser,0.87
1,es,verde,tomate,masculine,color,food,9,ser,0.35
1,no es,suave,zanahoria,feminine,texture,food,10,ser,0.21
1,no es,rojo,ventilador,masculine,color,furniture,11,ser,0.9
1,es,azul,manzana,feminine,color,food,12,ser,0.75
1,no es,nuevo,sof&aacute; ,masculine,age,furniture,13,ser,0.74
1,no es,largo,queso,masculine,size,food,14,ser,0.25
1,es,redondo,manzana,feminine,shape,food,15,ser,0.19
1,no es,fresco,silla,feminine,age,furniture,16,ser,0.94
