"","workerid","noun","nounclass","predicateposition","predicate","correctresponse","correctclass"
"1","vi. 45","manzana","food","predicate1","morado",0.93,"color"
"2","vi. 45","zanahoria","food","predicate1","marr&oacute;n",0.01,"color"
"3","vi. 45","ventilador","furniture","predicate1","mexicano",0.96,"nationality"
"4","vi. 45","zanahoria","food","predicate1","nuevo",0.97,"age"
"5","vi. 45","tomate","food","predicate1","verde",0.94,"color"
"6","vi. 45","manzana","food","predicate1","bueno",0.85,"quality"
"7","vi. 45","queso","food","predicate1","duro",0.01,"texture"
"8","vi. 45","televisi&oacute;n ","furniture","predicate1","bueno",0.04,"quality"
"9","vi. 45","tomate","food","predicate1","nuevo",0.92,"age"
"10","vi. 45","tomate","food","predicate1","min&uacute;sculo",0.07,"size"
"11","vi. 45","ventilador","furniture","predicate1","mexicano",0.07,"nationality"
"12","vi. 45","zanahoria","food","predicate1","suave",0.03,"texture"
"13","vi. 45","sof&aacute; ","furniture","predicate1","nuevo",0.14,"age"
"14","vi. 45","pl&aacute;tano","food","predicate1","azul",0.07,"color"
"15","vi. 45","sof&aacute; ","furniture","predicate1","cuadrado",0.02,"shape"
"16","vi. 45","televisi&oacute;n ","furniture","predicate1","morado",0.12,"color"
"17","vi. 45","zanahoria","food","predicate1","corto",0.09,"size"
"18","vi. 45","silla","furniture","predicate1","morado",0.13,"color"
"19","vi. 45","tomate","food","predicate1","podrido",0.05,"age"
"20","vi. 45","silla","furniture","predicate1","min&uacute;sculo",0.06,"size"
"21","vi. 45","televisi&oacute;n ","furniture","predicate1","min&uacute;sculo",0.05,"size"
"22","vi. 45","queso","food","predicate1","bueno",0.04,"quality"
"23","vi. 45","sof&aacute; ","furniture","predicate1","peque&ntilde;o",0.04,"size"
"24","vi. 45","manzana","food","predicate1","grande",0.01,"size"
"25","vi. 45","escritorio","furniture","predicate1","bueno",0.02,"quality"
"26","vi. 45","manzana","food","predicate1","enorme",0.02,"size"
"27","vi. 46","sof&aacute; ","furniture","predicate1","suave",0.75,"texture"
"28","vi. 46","silla","furniture","predicate1","largo",0.01,"size"
"29","vi. 46","sof&aacute; ","furniture","predicate1","viejo",0.04,"age"
"30","vi. 46","zanahoria","food","predicate1","largo",0.28,"size"
"31","vi. 46","pl&aacute;tano","food","predicate1","morado",0.8,"color"
"32","vi. 46","zanahoria","food","predicate1","fresco",0.8,"age"
"33","vi. 46","escritorio","furniture","predicate1","largo",0.97,"size"
"34","vi. 46","queso","food","predicate1","corto",0.75,"size"
"35","vi. 46","tomate","food","predicate1","duro",0.65,"texture"
"36","vi. 46","zanahoria","food","predicate1","americano",0.96,"nationality"
"37","vi. 46","pl&aacute;tano","food","predicate1","rojo",0.77,"color"
"38","vi. 46","queso","food","predicate1","mexicano",0.63,"nationality"
"39","vi. 46","televisi&oacute;n ","furniture","predicate1","min&uacute;sculo",0.97,"size"
"40","vi. 46","pl&aacute;tano","food","predicate1","verde",0.99,"color"
"41","vi. 46","manzana","food","predicate1","liso",0.01,"texture"
"42","vi. 46","televisi&oacute;n ","furniture","predicate1","azul",0.84,"color"
"43","vi. 46","escritorio","furniture","predicate1","suave",0.3,"texture"
"44","vi. 46","televisi&oacute;n ","furniture","predicate1","suave",0.03,"texture"
"45","vi. 46","escritorio","furniture","predicate1","nuevo",0.96,"age"
"46","vi. 46","silla","furniture","predicate1","rojo",0.83,"color"
"47","vi. 46","pl&aacute;tano","food","predicate1","espa&ntilde;ol",0.4,"nationality"
"48","vi. 46","manzana","food","predicate1","mexicano",0.76,"nationality"
"49","vi. 46","manzana","food","predicate1","largo",0.33,"size"
"50","vi. 46","sof&aacute; ","furniture","predicate1","nuevo",0.03,"age"
"51","vi. 46","queso","food","predicate1","cuadrado",0.97,"shape"
"52","vi. 46","televisi&oacute;n ","furniture","predicate1","liso",0,"texture"
"53","vi. 63","manzana","food","predicate1","redondo",0.73,"shape"
"54","vi. 63","silla","furniture","predicate1","duro",0.73,"texture"
"55","vi. 63","zanahoria","food","predicate1","duro",0.75,"texture"
"56","vi. 63","televisi&oacute;n ","furniture","predicate1","largo",0.71,"size"
"57","vi. 63","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.71,"size"
"58","vi. 63","pl&aacute;tano","food","predicate1","morado",0.73,"color"
"59","vi. 63","zanahoria","food","predicate1","peque&ntilde;o",0.21,"size"
"60","vi. 63","zanahoria","food","predicate1","grande",0.74,"size"
"61","vi. 63","ventilador","furniture","predicate1","largo",0.76,"size"
"62","vi. 63","zanahoria","food","predicate1","verde",0.8,"color"
"63","vi. 63","sof&aacute; ","furniture","predicate1","viejo",0.18,"age"
"64","vi. 63","sof&aacute; ","furniture","predicate1","nuevo",0.78,"age"
"65","vi. 63","sof&aacute; ","furniture","predicate1","podrido",0.2,"age"
"66","vi. 63","ventilador","furniture","predicate1","podrido",0.78,"age"
"67","vi. 63","pl&aacute;tano","food","predicate1","suave",0.74,"texture"
"68","vi. 63","zanahoria","food","predicate1","enorme",0.78,"size"
"69","vi. 63","silla","furniture","predicate1","podrido",0.72,"age"
"70","vi. 63","tomate","food","predicate1","duro",0.76,"texture"
"71","vi. 63","ventilador","furniture","predicate1","malo",0.21,"quality"
"72","vi. 63","sof&aacute; ","furniture","predicate1","fresco",0.73,"age"
"73","vi. 63","queso","food","predicate1","corto",0.23,"size"
"74","vi. 63","manzana","food","predicate1","suave",0.8,"texture"
"75","vi. 63","zanahoria","food","predicate1","grande",0.73,"size"
"76","vi. 63","ventilador","furniture","predicate1","mexicano",0.34,"nationality"
"77","vi. 63","sof&aacute; ","furniture","predicate1","verde",0.71,"color"
"78","vi. 63","escritorio","furniture","predicate1","morado",0.26,"color"
"79","vi. 64","zanahoria","food","predicate1","nuevo",0.3,"age"
"80","vi. 64","manzana","food","predicate1","americano",0.74,"nationality"
"81","vi. 64","queso","food","predicate1","amarillo",0.24,"color"
"82","vi. 64","ventilador","furniture","predicate1","nuevo",0.75,"age"
"83","vi. 64","pl&aacute;tano","food","predicate1","rojo",0.75,"color"
"84","vi. 64","pl&aacute;tano","food","predicate1","duro",0.6,"texture"
"85","vi. 64","ventilador","furniture","predicate1","enorme",0.13,"size"
"86","vi. 64","zanahoria","food","predicate1","fresco",0.11,"age"
"87","vi. 64","sof&aacute; ","furniture","predicate1","peque&ntilde;o",0.91,"size"
"88","vi. 64","sof&aacute; ","furniture","predicate1","amarillo",0.95,"color"
"89","vi. 64","manzana","food","predicate1","corto",0.81,"size"
"90","vi. 64","escritorio","furniture","predicate1","bueno",0.8,"quality"
"91","vi. 64","escritorio","furniture","predicate1","americano",0.13,"nationality"
"92","vi. 64","queso","food","predicate1","verde",0.84,"color"
"93","vi. 64","zanahoria","food","predicate1","viejo",0.2,"age"
"94","vi. 64","ventilador","furniture","predicate1","malo",0.17,"quality"
"95","vi. 64","televisi&oacute;n ","furniture","predicate1","malo",0.24,"quality"
"96","vi. 64","tomate","food","predicate1","peque&ntilde;o",0.83,"size"
"97","vi. 64","sof&aacute; ","furniture","predicate1","min&uacute;sculo",0.75,"size"
"98","vi. 64","escritorio","furniture","predicate1","americano",0.64,"nationality"
"99","vi. 64","ventilador","furniture","predicate1","suave",0.73,"texture"
"100","vi. 64","queso","food","predicate1","largo",0.8,"size"
"101","vi. 64","silla","furniture","predicate1","espa&ntilde;ol",0.88,"nationality"
"102","vi. 64","pl&aacute;tano","food","predicate1","morado",0.88,"color"
"103","vi. 64","manzana","food","predicate1","duro",0.13,"texture"
"104","vi. 64","escritorio","furniture","predicate1","enorme",0.13,"size"
